2011-10-24 14:22:45 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:22:45 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:22:45 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:22:45 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:22:45 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:25:13 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:25:13 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:25:13 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:25:13 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:25:13 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:13 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:13 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:25:15 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:25:15 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:25:15 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:25:15 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:25:15 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:15 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:15 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:25:16 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:25:16 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:25:16 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:25:16 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:25:16 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:16 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:16 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:25:27 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:25:27 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:25:27 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:25:27 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:25:27 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:27 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:27 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:25:30 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:25:31 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:25:31 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:25:31 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:25:31 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:31 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 14:25:31 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 14:26:12 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:26:12 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:26:12 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:26:12 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 14:26:27 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-24 14:26:27 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-24 14:26:27 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-24 14:26:27 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-24 16:01:58 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:01:58 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:01:58 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:03:41 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:03:41 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:03:41 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:04:32 Notice: Notice (8): Undefined property: UsersController::$Register in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 43]
2011-10-24 16:04:44 Notice: Notice (8): Undefined property: UsersController::$Register in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 43]
2011-10-24 16:04:59 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:04:59 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:04:59 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:07:35 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
